iter	Passed	Remaining
0	33	19818
1	49	14717
2	66	13147
3	86	12911
4	103	12296
5	119	11854
6	135	11496
7	150	11148
8	165	10870
9	180	10639
10	195	10460
11	210	10305
12	225	10181
13	240	10050
14	254	9922
15	269	9823
16	283	9733
17	298	9655
18	313	9599
19	328	9527
20	343	9481
21	359	9456
22	375	9411
23	391	9387
24	405	9333
25	420	9277
26	435	9233
27	450	9202
28	464	9155
29	479	9109
30	494	9078
31	508	9034
32	524	9011
33	539	8978
34	554	8943
35	569	8915
36	583	8882
37	597	8840
38	612	8810
39	627	8780
40	641	8747
41	655	8712
42	670	8686
43	685	8663
44	706	8715
45	721	8690
46	736	8660
47	750	8628
48	764	8599
49	779	8579
50	794	8553
51	810	8540
52	825	8518
53	840	8498
54	856	8484
55	872	8477
56	887	8458
57	902	8436
58	917	8412
59	932	8391
60	946	8360
61	960	8338
62	975	8318
63	990	8298
64	1005	8277
65	1020	8256
66	1034	8233
67	1049	8210
68	1063	8186
69	1079	8172
70	1094	8151
71	1108	8126
72	1122	8100
73	1136	8080
74	1150	8053
75	1166	8040
76	1180	8020
77	1196	8004
78	1210	7984
79	1225	7966
80	1239	7944
81	1253	7920
82	1268	7900
83	1282	7876
84	1296	7857
85	1327	7936
86	1343	7920
87	1358	7901
88	1372	7881
89	1387	7860
90	1401	7840
91	1416	7819
92	1430	7796
93	1444	7778
94	1460	7762
95	1474	7742
96	1490	7726
97	1505	7711
98	1520	7694
99	1534	7672
100	1549	7654
101	1564	7638
102	1580	7628
103	1595	7611
104	1610	7591
105	1624	7572
106	1640	7556
107	1655	7539
108	1670	7524
109	1685	7508
110	1700	7491
111	1715	7476
112	1729	7455
113	1744	7437
114	1759	7418
115	1773	7400
116	1787	7379
117	1803	7364
118	1817	7347
119	1832	7330
120	1848	7316
121	1864	7303
122	1878	7284
123	1892	7265
124	1926	7321
125	1952	7345
126	1976	7362
127	2000	7377
128	2019	7372
129	2035	7360
130	2050	7340
131	2065	7324
132	2080	7305
133	2094	7284
134	2108	7264
135	2123	7244
136	2136	7221
137	2150	7199
138	2164	7179
139	2178	7157
140	2191	7135
141	2206	7117
142	2221	7100
143	2235	7079
144	2249	7059
145	2266	7048
146	2280	7028
147	2294	7008
148	2308	6986
149	2322	6967
150	2336	6947
151	2351	6930
152	2364	6908
153	2380	6893
154	2395	6878
155	2409	6858
156	2425	6843
157	2439	6825
158	2454	6808
159	2469	6790
160	2483	6771
161	2497	6751
162	2510	6729
163	2523	6708
164	2537	6689
165	2551	6671
166	2565	6651
167	2579	6633
168	2594	6615
169	2608	6597
170	2622	6579
171	2644	6580
172	2658	6562
173	2672	6543
174	2687	6527
175	2701	6508
176	2715	6490
177	2730	6472
178	2745	6456
179	2760	6440
180	2774	6422
181	2789	6406
182	2802	6386
183	2816	6367
184	2833	6355
185	2847	6337
186	2861	6319
187	2876	6303
188	2891	6287
189	2904	6268
190	2918	6249
191	2932	6230
192	2946	6213
193	2960	6196
194	2974	6176
195	2987	6158
196	3001	6140
197	3014	6120
198	3028	6102
199	3042	6084
200	3055	6065
201	3069	6048
202	3083	6030
203	3096	6009
204	3109	5991
205	3123	5973
206	3137	5956
207	3151	5938
208	3164	5919
209	3178	5902
210	3191	5883
211	3205	5867
212	3218	5848
213	3232	5830
214	3250	5820
215	3265	5805
216	3279	5788
217	3294	5773
218	3310	5759
219	3325	5744
220	3339	5727
221	3354	5711
222	3368	5695
223	3383	5679
224	3396	5661
225	3411	5644
226	3425	5629
227	3441	5614
228	3455	5597
229	3468	5580
230	3482	5562
231	3496	5546
232	3511	5531
233	3526	5515
234	3539	5498
235	3554	5482
236	3568	5465
237	3582	5449
238	3595	5431
239	3610	5415
240	3625	5400
241	3639	5384
242	3653	5366
243	3666	5350
244	3680	5332
245	3695	5317
246	3709	5301
247	3722	5283
248	3736	5267
249	3750	5250
250	3763	5232
251	3776	5215
252	3790	5198
253	3806	5185
254	3820	5168
255	3833	5150
256	3850	5138
257	3863	5121
258	3876	5103
259	3889	5086
260	3907	5074
261	3920	5058
262	3935	5043
263	3950	5028
264	3963	5010
265	3977	4993
266	3990	4976
267	4004	4960
268	4017	4943
269	4030	4926
270	4045	4911
271	4059	4895
272	4073	4879
273	4087	4863
274	4101	4846
275	4114	4829
276	4128	4813
277	4142	4798
278	4157	4783
279	4170	4765
280	4184	4749
281	4197	4733
282	4210	4716
283	4223	4699
284	4236	4682
285	4250	4666
286	4262	4648
287	4274	4631
288	4287	4613
289	4300	4596
290	4314	4581
291	4326	4564
292	4340	4547
293	4354	4531
294	4368	4516
295	4381	4500
296	4395	4484
297	4407	4467
298	4420	4450
299	4433	4433
300	4447	4417
301	4459	4400
302	4473	4384
303	4485	4367
304	4498	4351
305	4511	4334
306	4523	4317
307	4552	4316
308	4583	4316
309	4612	4315
310	4637	4309
311	4661	4302
312	4678	4289
313	4695	4276
314	4711	4262
315	4724	4245
316	4737	4228
317	4750	4212
318	4763	4196
319	4777	4180
320	4791	4164
321	4804	4148
322	4817	4131
323	4830	4115
324	4844	4098
325	4856	4081
326	4869	4065
327	4883	4049
328	4897	4033
329	4911	4018
330	4924	4002
331	4937	3985
332	4949	3968
333	4961	3951
334	4975	3935
335	4988	3919
336	5001	3903
337	5015	3887
338	5028	3871
339	5041	3855
340	5054	3839
341	5067	3822
342	5079	3805
343	5092	3789
344	5104	3773
345	5119	3757
346	5132	3742
347	5144	3725
348	5158	3710
349	5171	3693
350	5183	3676
351	5196	3661
352	5209	3645
353	5223	3629
354	5236	3613
355	5248	3597
356	5261	3581
357	5273	3564
358	5286	3548
359	5299	3532
360	5311	3516
361	5326	3502
362	5339	3485
363	5353	3470
364	5366	3455
365	5381	3440
366	5396	3425
367	5411	3411
368	5423	3395
369	5437	3380
370	5451	3364
371	5466	3350
372	5480	3335
373	5492	3318
374	5505	3303
375	5518	3287
376	5531	3271
377	5543	3255
378	5556	3239
379	5570	3224
380	5583	3209
381	5597	3194
382	5610	3179
383	5624	3164
384	5637	3148
385	5651	3133
386	5664	3117
387	5677	3102
388	5690	3086
389	5703	3070
390	5722	3059
391	5749	3050
392	5777	3043
393	5804	3034
394	5828	3025
395	5855	3016
396	5882	3007
397	5905	2997
398	5925	2985
399	5940	2970
400	5954	2954
401	5966	2938
402	5979	2923
403	5992	2907
404	6005	2891
405	6019	2876
406	6033	2860
407	6045	2845
408	6058	2829
409	6071	2813
