iter	Passed	Remaining
0	2381	1426423
1	2554	763787
2	2588	515207
3	2619	390355
4	2651	315540
5	2681	265500
6	2715	230017
7	2746	203208
8	2776	182292
9	2809	165759
10	2847	152475
11	2882	141219
12	2917	131725
13	2951	123532
14	2990	116622
15	3024	110410
16	3059	104929
17	3093	100019
18	3126	95617
19	3159	91613
20	3193	88055
21	3226	84762
22	3260	81806
23	3295	79095
24	3329	76575
25	3363	74265
26	3397	72107
27	3430	70074
28	3465	68227
29	3501	66532
30	3534	64869
31	3570	63375
32	3608	62002
33	3642	60639
34	3674	59320
35	3706	58075
36	3742	56951
37	3777	55867
38	3811	54823
39	3846	53848
40	3881	52919
41	3917	52047
42	3951	51187
43	3984	50347
44	4017	49544
45	4050	48779
46	4082	48035
47	4116	47335
48	4149	46655
49	4181	45999
50	4215	45374
51	4248	44768
52	4280	44181
53	4312	43605
54	4343	43036
55	4374	42496
56	4407	41983
57	4441	41500
58	4475	41038
59	4507	40567
60	4537	40093
61	4569	39655
62	4602	39229
63	4635	38818
64	4664	38395
65	4695	37994
66	4727	37609
67	4758	37227
68	4792	36884
69	4827	36550
70	4859	36204
71	4891	35868
72	4921	35530
73	4953	35206
74	4983	34884
75	5014	34571
76	5044	34262
77	5076	33970
78	5108	33692
79	5140	33412
80	5173	33148
81	5237	33084
82	5285	32920
83	5320	32684
84	5355	32445
85	5390	32219
86	5423	31979
87	5455	31741
88	5485	31497
89	5516	31262
90	5551	31053
91	5586	30847
92	5619	30636
93	5653	30432
94	5685	30222
95	5720	30033
96	5754	29837
97	5786	29641
98	5820	29452
99	5852	29263
100	5884	29073
101	5913	28873
102	5946	28693
103	5977	28509
104	6006	28318
105	6040	28150
106	6073	27981
107	6105	27813
108	6140	27661
109	6175	27507
110	6207	27347
111	6241	27195
112	6274	27042
113	6307	26891
114	6341	26745
115	6376	26605
116	6410	26464
117	6441	26310
118	6475	26174
119	6507	26031
120	6540	25890
121	6572	25751
122	6607	25625
123	6641	25495
124	6681	25390
125	6715	25264
126	6749	25139
127	6782	25012
128	6815	24884
129	6847	24757
130	6880	24634
131	6913	24510
132	6944	24383
133	6975	24258
134	7013	24156
135	7049	24049
136	7083	23939
137	7119	23833
138	7154	23727
139	7192	23632
140	7230	23537
141	7260	23418
142	7290	23299
143	7319	23177
144	7347	23056
145	7375	22935
146	7404	22818
147	7433	22701
148	7461	22583
149	7489	22469
150	7560	22481
151	7600	22402
152	7636	22309
153	7669	22210
154	7702	22114
155	7736	22018
156	7771	21927
157	7802	21827
158	7834	21730
159	7866	21632
160	7899	21540
161	7930	21440
162	7961	21345
163	7994	21254
164	8030	21171
165	8063	21080
166	8097	20996
167	8134	20917
168	8168	20831
169	8202	20746
170	8235	20660
171	8267	20573
172	8306	20502
173	8344	20429
174	8376	20342
175	8413	20268
176	8450	20196
177	8491	20131
178	8520	20040
179	8549	19949
180	8582	19868
181	8617	19791
182	8659	19732
183	8699	19667
184	8735	19595
185	8770	19522
186	8806	19448
187	8840	19374
188	8877	19304
189	8914	19236
190	8949	19164
191	8989	19103
192	9026	19035
193	9064	18969
194	9101	18902
195	9136	18831
196	9171	18762
197	9205	18689
198	9243	18626
199	9278	18557
200	9316	18493
201	9351	18425
202	9386	18357
203	9420	18287
204	9457	18223
205	9492	18155
206	9525	18083
207	9559	18015
208	9593	17947
209	9628	17880
210	9660	17810
211	9697	17747
212	9731	17682
213	9770	17623
214	9807	17562
215	9842	17498
216	9878	17435
217	9913	17370
218	9948	17308
219	9982	17242
220	10016	17176
221	10048	17108
222	10082	17045
223	10114	16977
224	10148	16914
225	10185	16856
226	10224	16800
227	10263	16745
228	10297	16683
229	10331	16619
230	10364	16556
231	10397	16492
232	10429	16428
233	10462	16364
234	10496	16302
235	10528	16238
236	10562	16178
237	10597	16118
238	10634	16062
239	10668	16003
240	10706	15948
241	10743	15892
242	10780	15837
243	10817	15783
244	10854	15727
245	10891	15673
246	10925	15613
247	10959	15556
248	10995	15499
249	11029	15440
250	11063	15383
251	11096	15324
252	11137	15276
253	11172	15219
254	11206	15161
255	11241	15105
256	11275	15048
257	11308	14989
258	11341	14932
259	11372	14872
260	11404	14813
261	11437	14755
262	11471	14699
263	11510	14649
264	11586	14646
265	11625	14597
266	11663	14547
267	11700	14494
268	11736	14441
269	11771	14387
270	11805	14331
271	11838	14276
272	11872	14220
273	11908	14168
274	11942	14114
275	11975	14058
276	12007	14001
277	12039	13945
278	12100	13922
279	12139	13873
280	12172	13819
281	12205	13763
282	12236	13706
283	12267	13649
284	12301	13596
285	12334	13542
286	12367	13487
287	12400	13433
288	12432	13378
289	12464	13324
290	12497	13270
291	12530	13217
292	12562	13163
293	12597	13111
294	12630	13058
295	12663	13006
296	12698	12954
297	12731	12902
298	12764	12849
299	12797	12797
300	12828	12743
301	12861	12690
302	12894	12639
303	12927	12586
304	12959	12534
305	12992	12482
306	13026	12432
307	13058	12380
308	13092	12329
309	13125	12279
310	13158	12227
311	13190	12175
312	13222	12124
313	13254	12072
314	13284	12019
315	13317	11969
316	13353	11921
317	13387	11872
318	13420	11821
319	13455	11773
320	13490	11725
321	13524	11676
322	13556	11626
323	13589	11576
324	13623	11527
325	13656	11478
326	13690	11429
327	13721	11378
328	13756	11331
329	13787	11280
330	13822	11233
331	13855	11184
332	13891	11138
333	13923	11088
334	13957	11041
335	13989	10991
336	14025	10945
337	14056	10895
338	14088	10846
339	14118	10796
340	14152	10749
341	14184	10700
342	14219	10653
343	14251	10605
344	14285	10558
345	14318	10511
346	14352	10464
347	14384	10416
348	14419	10370
349	14451	10322
350	14486	10276
351	14522	10231
352	14559	10187
353	14592	10140
354	14628	10095
355	14660	10048
356	14698	10005
357	14733	9959
358	14765	9911
359	14798	9865
360	14831	9819
361	14864	9772
362	14897	9726
363	14931	9680
364	14964	9634
365	14996	9588
366	15029	9541
367	15063	9496
368	15098	9451
369	15134	9408
370	15169	9363
371	15204	9318
372	15238	9274
373	15274	9230
374	15308	9185
375	15344	9141
376	15377	9096
377	15412	9051
378	15445	9006
379	15479	8962
380	15514	8917
381	15551	8874
382	15588	8832
383	15624	8788
384	15660	8745
385	15696	8702
386	15731	8658
387	15767	8614
388	15803	8572
389	15839	8528
390	15876	8486
391	15911	8442
392	15948	8400
393	15987	8359
394	16025	8317
395	16063	8274
396	16101	8233
397	16138	8190
398	16177	8149
399	16215	8107
400	16254	8066
401	16294	8025
402	16330	7982
403	16367	7940
404	16406	7899
405	16444	7857
406	16484	7817
407	16521	7774
408	16559	7733
409	16600	7692
410	16636	7650
411	16672	7608
412	16707	7565
413	16743	7522
414	16780	7480
415	16815	7437
416	16852	7395
417	16888	7353
418	16923	7310
419	16962	7269
420	16999	7227
421	17036	7186
422	17070	7142
423	17104	7099
424	17137	7056
425	17173	7014
426	17210	6972
427	17246	6930
428	17281	6888
429	17316	6846
430	17351	6803
431	17385	6760
432	17417	6717
433	17451	6674
434	17484	6631
435	17518	6589
436	17551	6546
437	17585	6504
438	17618	6461
439	17651	6418
440	17689	6377
441	17723	6335
442	17757	6293
443	17792	6251
444	17826	6209
445	17862	6167
446	17896	6125
447	17930	6083
448	17973	6044
449	18007	6002
450	18041	5960
451	18075	5918
452	18110	5876
453	18145	5835
454	18178	5793
455	18213	5751
456	18245	5709
457	18279	5667
458	18312	5625
459	18346	5583
460	18381	5542
461	18415	5500
462	18450	5459
463	18487	5418
464	18524	5378
465	18559	5336
466	18593	5295
467	18626	5253
468	18659	5211
469	18691	5170
470	18725	5128
471	18757	5086
472	18790	5045
473	18824	5003
474	18857	4962
475	18890	4921
476	18923	4879
477	18956	4838
478	19002	4800
479	19041	4760
480	19084	4721
481	19127	4682
482	19163	4642
483	19195	4600
484	19230	4559
485	19264	4518
486	19308	4480
487	19347	4440
488	19381	4399
489	19414	4358
490	19446	4317
491	19480	4276
